序號,統一立案編號,類別,名稱,營業地址,保單到期日,Longitude,Latitude
1050,53556436,公司,幸福品味實業股份有限公司,臺北市內湖區民善街128號,115/12/15,121.575028,25.06138
1051,80198341,公司,美福餐飲股份有限公司,臺北市內湖區民善街128號,115/12/15,121.575028,25.06138
1052,53556436,公司,幸福品味實業股份有限公司,臺北市內湖區民善街76號,115/12/15,121.575631,25.05937
1053,80198341,公司,美福餐飲股份有限公司,臺北市內湖區民善街76號,115/12/15,121.575631,25.05937
1054,90357249,公司,久享股份有限公司,臺北市中山區林森北路477號地下1層,115/12/15,121.525769,25.06096
1055,94050426,公司,老董國際興業有限公司,臺北市中山區民生西路35號全棟,115/12/15,121.521022,25.057836
1056,60416323,公司,露咪娜有限公司,臺北市中山區長安東路1段83號1樓,115/12/15,121.528445,25.048369
1057,53739631,公司,波西卡企業有限公司,臺北市內湖區民權東路6段312號2樓、2樓之1(1樓通道及2樓),115/12/15,121.606043,25.072852
1058,54669129,公司,亞洲藏壽司股份有限公司,臺北市中山區南京東路2段101號1樓及地下1樓,115/12/16,121.532636,25.05224
1059,00043068,公司,佳仁投資有限公司,臺北市中山區吉林路28號1樓,115/12/16,121.529848,25.051494
1060,42761924,公司,鼎珍旺國際事業有限公司,臺北市士林區忠誠路2段55號3樓,115/12/16,121.531437,25.11181
1061,93498905,公司,岩漿觀光餐飲股份有限公司,臺北市信義區忠孝東路5段68號4樓,115/12/16,121.566694,25.040648
1062,12657728,公司,雙印食品有限公司,臺北市信義區松高路19號,115/12/16,121.566667,25.039359
1063,53110322,公司,聚滿樓餐廳有限公司,臺北市中正區汀州路一段105號1樓,115/12/17,121.50893,25.028631
1064,42650103,公司,廣香股份有限公司,臺北市中山區長春路218號,115/12/17,121.537644,25.054618
1065,53389228,公司,五花馬國際餐飲股份有限公司,臺北市中山區龍江路23號,115/12/17,121.540502,25.047861
1066,24575504,公司,臺虎精釀股份有限公司,臺北市信義區忠孝東路五段68號1樓,115/12/18,121.566694,25.040648
1067,12943650,公司,銀杏餐飲股份有限公司,臺北市信義區松仁路58號14樓,115/12/18,121.567967,25.036732
1068,93715804,公司,共和春有限公司,臺北市中山區松江路32之1號1樓,115/12/18,121.532731,25.047343
1069,54152263,公司,大和日本料理餐廳有限公司,臺北市中山區聚葉里錦州街17號、17號-1、17號-2、19號、19號-1、19號-2,115/12/18,121.52452,25.060411
1070,25134890,公司,圓碩有限公司,臺北市大安區光復南路290巷1號1樓含附屬建物,115/12/18,121.557143,25.039235
1071,16136290,公司,鈺善閣餐飲有限公司,臺北市中正區北平東路14號1樓、16號2樓、3樓、16號2樓之1,115/12/19,121.524547,25.046023
1072,70847135,公司,永豐餘生技股份有限公司,臺北市大安區信義路二段158號2樓,115/12/19,121.529011,25.033652
1073,70847135,公司,永豐餘生技股份有限公司,臺北市士林區中山北路6段425號之1,115/12/19,121.526943,25.11388
1074,70847135,公司,永豐餘生技股份有限公司,臺北市中正區重慶南路二段51號B1F,115/12/19,121.514933,25.03122
1075,70847135,公司,永豐餘生技股份有限公司,臺北市中正區仁愛路二段94號B1-2樓,115/12/19,121.531381,25.03798
1076,70847135,公司,永豐餘生技股份有限公司,臺北市松山區民生東路4段110號1樓及B1,115/12/19,121.554284,25.058045
1077,53830589,公司,這一鍋餐飲股份有限公司,臺北市南港區忠孝東路7段369號9樓,115/12/19,121.607208,25.052669
1078,53830589,公司,這一鍋餐飲股份有限公司,臺北市北投區明德路365號,115/12/19,121.521347,25.117549
1079,91035788,公司,家成餐飲服務有限公司,臺北市中正區泰安街8號,115/12/19,121.527918,25.039985
1080,53830589,公司,這一鍋餐飲股份有限公司,臺北市大安區信義路4段88號2樓,115/12/19,121.547503,25.033026
1081,50901336,公司,立占國際股份有限公司,臺北市信義區松壽路12號1樓,115/12/19,121.566021,25.035668
1082,52649990,公司,羅依有限公司,臺北市信義區永吉路30巷87號,115/12/19,121.568856,25.04389
1083,53830589,公司,這一鍋餐飲股份有限公司,臺北市中山區吉林路190號及民生東路2段71號,115/12/19,121.53024,25.054279
1084,53830589,公司,這一鍋餐飲股份有限公司,臺北市南港區忠孝東路7段369號A棟3樓,115/12/19,121.607208,25.052669
1085,53830589,公司,這一鍋餐飲股份有限公司,臺北市中正區忠孝西路1段47號B1樓,115/12/19,121.516761,25.04688
1086,90877255,公司,黃金稻埕股份有限公司,臺北市大同區迪化街1段76號全棟,115/12/20,121.509917,25.055738
1087,94270218,公司,河馬寓所有限公司,臺北市中山區林森北路159巷30號1樓,115/12/20,121.526274,25.051511
1088,42868475,公司,亞茜股份有限公司,臺北市信義區松仁路58號,115/12/20,121.567967,25.036732
1089,93508988,公司,刁民萊斯度餐飲有限公司,臺北市萬華區中華路1段88號1樓、2樓,115/12/20,121.508645,25.045013
1090,12686792,公司,好吃小吃店有限公司,臺北市中山區八德路2段174巷3號1，2，3樓、5號1，2，3樓、7弄1號2樓、3號1及2樓,115/12/20,121.53827,25.045981
1091,54345001,公司,老烤香實業有限公司,臺北市大安區瑞安街141號1樓及B1樓、258號1樓及B1樓,115/12/20,121.539625,25.026696
1092,27973174,公司,鎮饌股份有限公司,臺北市信義區忠孝東路5段297號5、6樓,115/12/20,121.572849,25.041146
1093,27332404,公司,兩班家有限公司,臺北市士林區忠誠路2段55號5樓,115/12/21,121.531437,25.11181
1094,42632767,公司,枝仔冰城股份有限公司,臺北市中正區忠孝東路2段89號,115/12/21,121.530672,25.043143
1095,27339770,公司,城市商旅股份有限公司,臺北市大同區延平北路1段51號1~3樓、地下室及53號1樓,115/12/21,121.512073,25.050927
1096,83055923,公司,自由空間餐飲文化有限公司,臺北市中山區中山北路二段45巷11號1樓,115/12/22,121.523456,25.054494
1097,53221376,公司,豆腐村有限公司,臺北市南港區忠孝東路7段299號10樓,115/12/22,121.604792,25.052364
