年度,被申訴人,申訴人,協商日,爭議內容
109,利亞婚禮有限公司,林○○,1090623,婚紗攝影退費爭議
109,富胖達股份有限公司,郭○○,1090623,美食平台退費爭議
109,蝦皮賣家帳號：joe04040504,蘇○○,1090622,網路購物消費爭議
109,富胖達股份有限公司,郭○○,1090622,美食平台退費爭議
109,富胖達股份有限公司,祝○○,1090620,美食平台退費爭議
109,富胖達股份有限公司,劉○○,1090619,美食平台損害賠償爭議
109,雨神有限公司,李○○,1090619,網路購物消費爭議
109,萬年青實業社,彭○○,1090617,購買按摩券消費爭議
109,京媛診所,鍾○○,1090616,美容保養課程退費爭議
109,富胖達股份有限公司,韓○○,1090615,美食外送爭議
109,遊戲橘子數位科技股份有限公司,洪○○,1090615,線上遊戲爭議
109,臺灣全民運動協會,邱○○,1090612,因疫情路跑改期之退費爭議
109,君赫文化國際事業有限公司,劉○○,1090610,退費爭議
109,景華科技股份有限公司,周○○,1090610,交友平台退費爭議
109,富胖達股份有限公司,張○○,1090610,美食外送爭議
109,樂活旅行社股份有限公司,鄧○○,1090610,旅遊服務爭議
109,承軒行銷有限公司、銳果物流整合行銷有限公司,周○○,1090609,網購退費爭議
109,香港商世界健身事業有限公司,劉○○,1090609,健身課程消費爭議
109,查斯特攝影公司(TRUST婚禮攝錄有限公司),郭○○,1090608,婚紗攝影退訂爭議
109,子震科技,洪○○,1090608,網路購物退費爭議
109,香港商雅虎資訊股份有限公司(賣家帳號：Y5110650802),吳○○,1090608,網路購物退費爭議
109,遊戲橘子數位科技股份有限公司,黃○○,1090608,線上遊戲爭議
109,台灣飛利浦股份有限公司,蔡○○,1090605,電子鍋故障爭議
109,富胖達股份有限公司,陳○○,1090605,美食外送爭議
109,橘子乾洗濟南店,王○○,1090605,洗衣服務爭議
109,富胖達股份有限公司,林○○,1090604,美食外送爭議
109,聶海科技有限公司,陳○○,1090604,網路購物退費爭議
109,臺北市私立博文文理短期補習班,鄭○○,1090603,補習服務爭議
109,台灣樂天市場股份有限公司,蕭○○,1090603,網路購物爭議
109,阿拉伯聯合大公國商阿聯酋國際航空有限公司,陳○○,1090601,機票退票爭議
109,荷蘭商蔻馳皮件股份有限公司,邱○○,1090601,購物消費爭議
109,樂購蝦皮股份有限公司及賣家帳號：yoyo123momo,李○○,1090601,網路購物爭議
109,富胖達股份有限公司,李○○,1090528,網路購物退費爭議
109,好市多股份有限公司,林○○,1090528,網路購物爭議
109,富胖達股份有限公司,洪○○,1090527,美食平台退費爭議
109,馬來西亞商馬亞洲航空有限公司,黃○○,1090527,機票退費爭議
109,創業家兄弟股份有限公司,趙○○,1090526,網路購物爭議
109,露天市集國際資訊股份有限公司賣家帳號：dingli888888,章○○,1090526,網路購物爭議
109,奧迪福斯汽車股份有限公司,陳○○,1090525,汽車召回爭議
109,蝦皮賣家帳號：joseph_zeroone,林○○,1090525,網路購物爭議
109,統域領導力發展股份有限公司,章○,1090525,課程退費爭議
109,奇摩賣家帳號 Y2265780556,葉○○,1090521,網購拍賣退費爭議
109,蝦皮賣家帳號：ooetinchen,曾○○,1090520,線上購物消費爭議
109,花漾旅館股份有限公司,黃○○,1090520,訂房取消退費爭議
109,中租迪和股份有限公司,文○○,1090520,退費爭議
109,宇浩國際有限公司,王○○,1090519,退費爭議
109,利亞婚禮有限公司(TAEHEE W 韓國婚紗攝影),陳○○,1090518,婚紗攝影爭議
109,阿拉伯聯合大公國商阿聯酋國際航空有限公司,曾○○,1090518,國外旅遊消費爭議
109,富胖達股份有限公司,林○○,1090518,美食外送爭議
109,馬來西亞商全亞洲航空長途運輸有限公司台灣分公司,王○○,1090515,機票退費爭議
109,台灣虎航股份有限公司,顏○○,1090514,機票退費爭議
109,新加坡商拍拖有限公司,林○○,1090514,退費爭議
109,五福旅行社股份有限公司,胡○○,1090514,購買機票消費爭議
109,富胖達股份有限公司,吳○○,1090514,美食外送爭議
109,依諾維新科技股份有限公司,李○○,1090513,契約履行爭議
109,遠智創新股份有限公司,羅○○,1090513,集資退費爭議
109,日勝行銷顧問有限公司,王○○,1090512,債權協商服務爭議
109,遠東航空股份有限公司,張○,1090511,損害賠償爭議
109,富邦媒體科技股份有限公司,陳○○,1090511,購物消費爭議
109,遠智創新股份有限公司,曹○○,1090511,網路募資退費消費爭議
109,大中華通訊行,呂○○,1090507,手機維修消費爭議
109,鈞仕貿易有限公司,張○○,1090507,購物消費爭議
109,台灣虎航股份有限公司,連○○,1090507,機票退票消費爭議
109,來運動健身俱樂部(飛躍運動館)、蔡珉涓,陳○○,1090507,健身課程消費爭議
109,科眾智能科技有限公司,謝○○,1090507,線上遊戲退費爭議
109,山富國際旅行社股份有限公司,陳○○,1090506,國外旅遊服務爭議
109,千田村居家生活館,張○○,1090506,購物消費爭議
