NAME,COMNUM,ADDR,OWNER,ADDR_X,ADDR_Y
欣年企業有限公司,北市水證甲字第002457號,興隆路2段161號,陳麒昌,305381.647,2765953.651
華富水電工程有限公司,北市水證甲字第002464號,忠順街二段12號1樓,楊銀華,306772.787,2764179.867
逸泉工程有限公司,北市水證甲字第001923號,興隆路4段62巷1號4樓,沈榮相,306646.686,2764242.979
央譽工程事業有限公司,北市水證乙字第001005號,福興路63巷5號1樓,吳朝順,305489.653,2766270.073
盈發工程股份有限公司,北市水證丙字第000190號,羅斯福路6段122號4樓,許志恒,304571.353,2765594.325
達叡環境有限公司,北市水證乙字第001012號,忠孝東路5段1之8號5樓,林芃汝,307030,2770470
鼎集水電工程有限公司,北市水證甲字第003119號,萬寧街23巷1號4樓,郭信福,306963.35,2766296.03
大成豪水電工程有限公司,北市水證丙字第000023號,木柵路二段109巷25弄37號,林駿森,305635.266,2765570.56
世樹工程有限公司,北市水證乙字第000188號,興隆路2段233巷6弄8之1號1樓,黃佳慶,305621.115,2766133.808
忠順水電有限公司,北市水證甲字第000772號,興隆路4段195巷15號1樓,陳水木,306829.42,2764048.444
慶隆環保有限公司,北市水證丙字第000177號,康寧路三段185號3樓,王靜芬,311729.318,2773672.65
慶太工程有限公司,北市水證甲字第002415號,內湖路1段411巷85號1樓,劉偉慶,307712.602,2775224.816
三采工程有限公司,北市水證甲字第002929號,文德路22巷55，57號,徐麗玉,308333.916,2774661.705
劦立水電工程有限公司,北市水證甲字第002039號,康寧路3段16巷29號1樓,林志鏗,311286.299,2773902.88
陽明營造股份有限公司,北市水證甲字第002992號,新湖三路237號6樓,黃龍泉,308637.638,2773164.104
星鋼機電工程有限公司,北市水證甲字第002917號,新湖一路85號6樓,黃秋來,308081.58,2772374.634
麒鎮實業有限公司,北市水證甲字第002014號,內湖路1段591巷11弄7號1樓,尤進茂,307859.263,2774878.599
暐祥水電工程有限公司,北市水證甲字第002914號,康寧路3段56巷1號10樓之2,莊美華,311546.947,2773776.568
震沁工程有限公司,北市水證甲字第003099號,忠孝東路3段305號6樓之1,柯玟慧,304847,2770527
虹輝開發工程股份有限公司,北市水證甲字第002727號,瑞光路258巷55號6樓,高獻龍,307950.651,2774161.811
擎邦國際科技工程股份有限公司,北市水證甲字第002543號,瑞光路210號5樓,洪健峰,308138.717,2774230.863
特欣機電股份有限公司,北市水證甲字第002341號,民善街89號,謝有全,308095.164,2772563.186
璟淳工程有限公司,北市水證甲字第003068號,康寧路3段190巷11號,闕壯曄,311686,2773523
益來工程股份有限公司,北市水證甲字第001624號,內湖路3段308號1樓,邱進原,308947.416,2775794.074
達慶機電股份有限公司,北市水證甲字第001928號,南京東路6段348號12樓,陳朝慶,309046.411,2772390.512
正裕科技工程股份有限公司,北市水證甲字第002886號,南京東路6段348號11樓之1,林金童,309046.411,2772390.512
環康實業股份有限公司,北市水證甲字第002770號,南京東路6段451巷57號2樓之13,陳鴻儒,309199.459,2772762.349
宇力工程有限公司,北市水證甲字第001265號,瑞湖街178巷17號5樓,蕭五郎,308077.143,2773749.735
華韋工程有限公司,北市水證甲字第003040號,景福街30號2樓之5,李韋彤,304384,2765816
富通工程股份有限公司,北市水證甲字第002346號,民權東路6段109號5樓之3,楊久慧,309805.582,2773672.842
歷嵐工程有限公司,北市水證甲字第001797號,康樂街186巷24號1樓,黃榮華,312557.31,2774414.736
