統一編號,公司名稱,公司地址,核准變更日期,Longitude,Latitude
93498476,蟹樂利股份有限公司,臺北市大安區樂利路52號、54號1樓,115/04/01,121.551659,25.026392
93537105,采科有限公司,臺北市大同區承德路1段17號9樓之8,115/04/01,121.517065,25.050153
93575563,上億有限公司,臺北市信義區祥雲街13之1號地下,115/04/01,121.5742,25.019321
93575682,新日本冷凍空調科技股份有限公司,臺北市中山區南京西路10號10樓,115/04/01,121.521541,25.052271
93620650,宇沛實業股份有限公司,臺北市松山區敦化北路207號9樓之6,115/04/01,121.549488,25.05804
93720911,想享品牌顧問有限公司,臺北市大安區安和路1段27號15樓,115/04/01,121.550372,25.039169
93726416,爾瑪室內裝修工程有限公司,臺北市中正區重慶南路1段68號1樓,115/04/01,121.513099,25.043565
93766471,台灣日和行銷有限公司,臺北市大同區延平北路2段41號1樓,115/04/01,121.511792,25.055026
94097180,德鑫半導體控股股份有限公司,臺北市中山區民生東路2段172號4樓,115/04/01,121.535291,25.057707
94105294,大倉本舖有限公司,臺北市大同區延平北路1段31號5樓,115/04/01,121.512092,25.050476
94106054,海風管理顧問股份有限公司,臺北市中山區南京東路3段168號7樓,115/04/01,121.541497,25.051676
94206407,植徑國際有限公司,臺北市大同區市民大道1段209號12樓,115/04/01,121.51835,25.048893
94246029,勝光國際有限公司,臺北市內湖區文湖街60巷32號5樓,115/04/01,121.564389,25.085985
95461381,安新生醫股份有限公司,臺北市信義區松仁路100號34樓,115/04/01,121.568126,25.034459
96808002,長弘時尚股份有限公司,臺北市中山區長春路56號3樓、4樓、5樓,115/04/01,121.526002,25.054824
96849860,進喜貿易有限公司,臺北市士林區通河東街1段124巷6弄14號1樓,115/04/01,121.516309,25.086133
96905378,鴻福事務用品企業有限公司,臺北市松山區市民大道4段175號2樓,115/04/01,121.551693,25.044768
97179488,台灣樂蘭企業股份有限公司,臺北市中山區中山北路2段112號9樓之5,115/04/01,121.522741,25.06068
98643317,完顏生活美學有限公司,臺北市信義區光復南路495號4樓,115/04/01,121.557885,25.03246
28600,振鑫資本股份有限公司,臺北市中正區林森北路7號5樓之1,115/04/02,121.523668,25.045456
60024,鈺健好物有限公司,臺北市信義區信義路4段458號6樓,115/04/02,121.55838,25.03283
121373,向陽萬金光電股份有限公司,臺北市大安區敦化南路2段99號12樓,115/04/02,121.549183,25.028808
129430,堡誠有限公司,臺北市中正區福州路11之10號3樓,115/04/02,121.51906,25.029177
